epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
70,3291.38,0.94105,0.3352,0.00372,1,0.98152,0.99486,0.77159,0.86787,0.23784,0.00391,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845,0.0197535,0.0065845
71,3337.13,0.93769,0.32977,0.00367,0.9759,0.97902,0.99336,0.75586,0.89097,0.27925,0.00397,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
72,3382.61,0.95846,0.3297,0.00374,0.99186,0.98252,0.99472,0.75727,0.89579,0.26347,0.00408,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855,0.0194565,0.0064855
73,3428.09,0.92982,0.32493,0.00365,0.9718,0.99301,0.99427,0.75353,0.89721,0.25172,0.00406,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
74,3473.65,0.91934,0.31425,0.00365,0.98962,0.98601,0.99444,0.76103,0.88145,0.24493,0.00392,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,3519.22,0.91765,0.32603,0.00365,0.98677,0.98951,0.99462,0.76313,0.88666,0.24306,0.00408,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,3564.63,0.91851,0.31852,0.00371,0.99038,0.99301,0.99489,0.76618,0.87016,0.24337,0.00393,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,3609.95,0.91834,0.3288,0.00367,0.98814,0.9965,0.99454,0.75482,0.9165,0.24866,0.00414,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,3655.29,0.91641,0.32059,0.00357,0.99646,0.98552,0.99462,0.76087,0.885,0.24923,0.00401,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,3700.47,0.91136,0.31663,0.00358,0.99027,0.98601,0.99459,0.75447,0.91507,0.25876,0.00408,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
