epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
74,18897.4,0.92156,0.53368,0.00998,0.97629,0.97855,0.98957,0.79129,0.80688,0.26238,0.01282,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865,0.0191595,0.0063865
75,19148,0.92269,0.53053,0.00998,0.97394,0.9816,0.98956,0.7911,0.80614,0.26249,0.01281,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
76,19399.8,0.91896,0.53132,0.00994,0.97423,0.98094,0.98965,0.79232,0.80582,0.26236,0.01281,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
77,19647.5,0.91834,0.53012,0.00993,0.97791,0.97635,0.98953,0.79203,0.80561,0.26229,0.01281,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
78,19896.4,0.91588,0.5313,0.00992,0.97505,0.97996,0.98944,0.79285,0.80513,0.26232,0.0128,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885,0.0185655,0.0061885
79,20143.9,0.91809,0.53048,0.00993,0.97504,0.97882,0.98945,0.79255,0.80512,0.26248,0.0128,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
80,20396.6,0.92029,0.52311,0.00994,0.97454,0.98043,0.98943,0.7932,0.80484,0.26198,0.0128,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895,0.0182685,0.0060895
81,20649.4,0.91831,0.53037,0.00999,0.97533,0.98029,0.98946,0.79422,0.80476,0.26148,0.0128,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
82,20899.3,0.91254,0.52494,0.00986,0.97534,0.97936,0.98935,0.79388,0.80453,0.26164,0.01279,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905,0.0179715,0.0059905
83,21149.4,0.90793,0.51915,0.00982,0.97413,0.98142,0.98914,0.79235,0.80425,0.26235,0.01279,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941,0.017823,0.005941
84,21399.9,0.90769,0.52053,0.00981,0.97281,0.98197,0.98903,0.79224,0.80389,0.26278,0.01278,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915,0.0176745,0.0058915
85,21647.1,0.91063,0.51687,0.00983,0.97662,0.97805,0.98913,0.79231,0.804,0.26187,0.01278,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842,0.017526,0.005842
86,21896.6,0.90706,0.51999,0.0098,0.97559,0.98114,0.98905,0.79206,0.80337,0.26212,0.01277,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925,0.0173775,0.0057925
87,22145.5,0.90883,0.51846,0.00979,0.97648,0.98053,0.98894,0.7922,0.80356,0.26114,0.01278,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743,0.017229,0.005743
88,22394.6,0.90401,0.52128,0.00975,0.97445,0.98079,0.9889,0.79241,0.80349,0.2619,0.01278,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935,0.0170805,0.0056935
89,22642.4,0.90636,0.52061,0.00982,0.97502,0.98083,0.98882,0.79166,0.80325,0.26128,0.01278,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644,0.016932,0.005644
